"family","gap","event_set","weighting","panel","cohort","states","base_year","treated_units_base","treated_units","row","year","event_time","att","se","status"
"hs","c_hispanic_white","primary","unweighted","unbalanced",2022,"MD OH",2021,19,198,"group-time cell",2015,-7,-0.0676295007349704,0.0401815997940007,"ok"
"hs","c_hispanic_white","primary","unweighted","unbalanced",2022,"MD OH",2021,19,198,"group-time cell",2016,-6,-0.145794761376261,0.0447926835913022,"ok"
"hs","c_hispanic_white","primary","unweighted","unbalanced",2022,"MD OH",2021,19,198,"group-time cell",2017,-5,-0.146715364159377,0.0493489454852493,"ok"
"hs","c_hispanic_white","primary","unweighted","unbalanced",2022,"MD OH",2021,19,198,"group-time cell",2018,-4,-0.106344291540516,0.038864123957877,"ok"
"hs","c_hispanic_white","primary","unweighted","unbalanced",2022,"MD OH",2021,19,198,"group-time cell",2019,-3,-0.125161296585075,0.0702033567111008,"ok"
"hs","c_hispanic_white","primary","unweighted","unbalanced",2022,"MD OH",2021,19,198,"group-time cell",2021,-1,0,,"reference (base period)"
"hs","c_hispanic_white","primary","unweighted","unbalanced",2022,"MD OH",2021,19,198,"group-time cell",2022,0,0.0459723090768984,0.0408049880000887,"ok"
"hs","c_hispanic_white","primary","unweighted","unbalanced",2022,"MD OH",2021,19,198,"group-time cell",2023,1,0.151162318627731,0.0346599932888672,"ok"
"hs","c_hispanic_white","primary","unweighted","unbalanced",2022,"MD OH",2021,19,198,"group-time cell",2024,2,0.0420020323418734,0.0379791254473806,"ok"
"hs","c_hispanic_white","primary","unweighted","unbalanced",2022,"MD OH",2021,19,198,"group-time cell",2025,3,0.0792303842950105,0.0441179465075473,"ok"
"hs","c_hispanic_white","primary","unweighted","unbalanced",2025,"CO MS",2024,5,87,"cohort post-reform average (did aggte, group)",,,-0.176826590469649,0.0109189214691106,"ok"
"hs","c_hispanic_white","primary","unweighted","unbalanced",2025,"CO MS",2024,5,87,"group-time cell",2010,-15,0.055605840344594,0.0390558935552314,"ok"
"hs","c_hispanic_white","primary","unweighted","unbalanced",2025,"CO MS",2024,5,87,"group-time cell",2011,-14,-0.0178932169465939,0.0286421152496812,"ok"
"hs","c_hispanic_white","primary","unweighted","unbalanced",2025,"CO MS",2024,5,87,"group-time cell",2012,-13,-0.0849220498849815,0.0364686106227259,"ok"
"hs","c_hispanic_white","primary","unweighted","unbalanced",2025,"CO MS",2024,5,87,"group-time cell",2013,-12,-0.157248319672789,0.0324619417203553,"ok"
"hs","c_hispanic_white","primary","unweighted","unbalanced",2025,"CO MS",2024,5,87,"group-time cell",2014,-11,-0.127381990867846,0.0277938455232137,"ok"
"hs","c_hispanic_white","primary","unweighted","unbalanced",2025,"CO MS",2024,5,87,"group-time cell",2015,-10,-0.148146988985771,0.0317689769411639,"ok"
"hs","c_hispanic_white","primary","unweighted","unbalanced",2025,"CO MS",2024,5,87,"group-time cell",2016,-9,-0.059326112608323,0.0312033669508838,"ok"
"hs","c_hispanic_white","primary","unweighted","unbalanced",2025,"CO MS",2024,5,87,"group-time cell",2017,-8,-0.13278890303715,0.0879663649682279,"ok"
"hs","c_hispanic_white","primary","unweighted","unbalanced",2025,"CO MS",2024,5,87,"group-time cell",2018,-7,-0.0482640987512417,0.0449955874418852,"ok"
"hs","c_hispanic_white","primary","unweighted","unbalanced",2025,"CO MS",2024,5,87,"group-time cell",2019,-6,-0.0302087521147472,0.0453516965320666,"ok"
"hs","c_hispanic_white","primary","unweighted","unbalanced",2025,"CO MS",2024,5,87,"group-time cell",2021,-4,-0.0382143153848369,0.0544551468003137,"ok"
"hs","c_hispanic_white","primary","unweighted","unbalanced",2025,"CO MS",2024,5,87,"group-time cell",2022,-3,-0.0993125182658641,0.0362749530184812,"ok"
"hs","c_hispanic_white","primary","unweighted","unbalanced",2025,"CO MS",2024,5,87,"group-time cell",2023,-2,0.0608998299500882,0.0310918581647164,"ok"
"hs","c_hispanic_white","primary","unweighted","unbalanced",2025,"CO MS",2024,5,87,"group-time cell",2024,-1,0,,"reference (base period)"
"hs","c_hispanic_white","primary","unweighted","unbalanced",2025,"CO MS",2024,5,87,"group-time cell",2025,0,-0.176826590469649,0.0106288777041831,"ok"
"hs","b_black_white","r2","unweighted","unbalanced",2019,"NM",2018,0,9,"cohort post-reform average (did aggte, group)",,,,,"no estimable cell (no treated unit at the base period)"
"hs","b_black_white","r2","unweighted","unbalanced",2019,"NM",2018,0,9,"group-time cell",2010,-9,,,"not estimable"
"hs","b_black_white","r2","unweighted","unbalanced",2019,"NM",2018,0,9,"group-time cell",2011,-8,,,"not estimable"
"hs","b_black_white","r2","unweighted","unbalanced",2019,"NM",2018,0,9,"group-time cell",2012,-7,,,"not estimable"
"hs","b_black_white","r2","unweighted","unbalanced",2019,"NM",2018,0,9,"group-time cell",2013,-6,,,"not estimable"
"hs","b_black_white","r2","unweighted","unbalanced",2019,"NM",2018,0,9,"group-time cell",2014,-5,,,"not estimable"
"hs","b_black_white","r2","unweighted","unbalanced",2019,"NM",2018,0,9,"group-time cell",2015,-4,,,"not estimable"
"hs","b_black_white","r2","unweighted","unbalanced",2019,"NM",2018,0,9,"group-time cell",2016,-3,,,"not estimable"
"hs","b_black_white","r2","unweighted","unbalanced",2019,"NM",2018,0,9,"group-time cell",2017,-2,,,"not estimable"
"hs","b_black_white","r2","unweighted","unbalanced",2019,"NM",2018,0,9,"group-time cell",2018,-1,0,,"reference (base period)"
"hs","b_black_white","r2","unweighted","unbalanced",2019,"NM",2018,0,9,"group-time cell",2019,0,,,"not estimable"
"hs","b_black_white","r2","unweighted","unbalanced",2019,"NM",2018,0,9,"group-time cell",2021,2,,,"not estimable"
"hs","b_black_white","r2","unweighted","unbalanced",2019,"NM",2018,0,9,"group-time cell",2022,3,,,"not estimable"
"hs","b_black_white","r2","unweighted","unbalanced",2019,"NM",2018,0,9,"group-time cell",2023,4,,,"not estimable"
"hs","b_black_white","r2","unweighted","unbalanced",2019,"NM",2018,0,9,"group-time cell",2024,5,,,"not estimable"
"hs","b_black_white","r2","unweighted","unbalanced",2019,"NM",2018,0,9,"group-time cell",2025,6,,,"not estimable"
"hs","c_hispanic_white","r2","unweighted","unbalanced",2019,"NM",2018,0,51,"cohort post-reform average (did aggte, group)",,,,,"no estimable cell (no treated unit at the base period)"
"hs","c_hispanic_white","r2","unweighted","unbalanced",2019,"NM",2018,0,51,"group-time cell",2010,-9,,,"not estimable"
"hs","c_hispanic_white","r2","unweighted","unbalanced",2019,"NM",2018,0,51,"group-time cell",2011,-8,,,"not estimable"
"hs","c_hispanic_white","r2","unweighted","unbalanced",2019,"NM",2018,0,51,"group-time cell",2012,-7,,,"not estimable"
"hs","c_hispanic_white","r2","unweighted","unbalanced",2019,"NM",2018,0,51,"group-time cell",2013,-6,,,"not estimable"
"hs","c_hispanic_white","r2","unweighted","unbalanced",2019,"NM",2018,0,51,"group-time cell",2014,-5,,,"not estimable"
"hs","c_hispanic_white","r2","unweighted","unbalanced",2019,"NM",2018,0,51,"group-time cell",2015,-4,,,"not estimable"
"hs","c_hispanic_white","r2","unweighted","unbalanced",2019,"NM",2018,0,51,"group-time cell",2016,-3,,,"not estimable"
"hs","c_hispanic_white","r2","unweighted","unbalanced",2019,"NM",2018,0,51,"group-time cell",2017,-2,,,"not estimable"
"hs","c_hispanic_white","r2","unweighted","unbalanced",2019,"NM",2018,0,51,"group-time cell",2018,-1,0,,"reference (base period)"
"hs","c_hispanic_white","r2","unweighted","unbalanced",2019,"NM",2018,0,51,"group-time cell",2019,0,,,"not estimable"
"hs","c_hispanic_white","r2","unweighted","unbalanced",2019,"NM",2018,0,51,"group-time cell",2021,2,,,"not estimable"
"hs","c_hispanic_white","r2","unweighted","unbalanced",2019,"NM",2018,0,51,"group-time cell",2022,3,,,"not estimable"
"hs","c_hispanic_white","r2","unweighted","unbalanced",2019,"NM",2018,0,51,"group-time cell",2023,4,,,"not estimable"
"hs","c_hispanic_white","r2","unweighted","unbalanced",2019,"NM",2018,0,51,"group-time cell",2024,5,,,"not estimable"
"hs","c_hispanic_white","r2","unweighted","unbalanced",2019,"NM",2018,0,51,"group-time cell",2025,6,,,"not estimable"
