"gap","event_set","weighting","panel","e","att","se","boot_se","t_stat","crit_val","ci_lo","ci_hi","p_value","reps","clusters","reference","cohorts","treated_states","treated_units"
"grad_hispanic_white","primary","unweighted","unbalanced",-5,-0.0184536898820332,0.0286488470654243,0.0285183614387829,-0.644133770545502,1.92352253794763,-0.0735603928985917,0.0366530131345253,0.5309,9999,38,FALSE,3,3,158
"grad_hispanic_white","primary","unweighted","unbalanced",-4,-0.00236553950988066,0.0320430016332434,0.0321110060973609,-0.0738239050434806,1.93224766981768,-0.0642805547496795,0.0595494757299181,0.9485,9999,38,FALSE,3,3,158
"grad_hispanic_white","primary","unweighted","unbalanced",-3,0.0324153351060886,0.0333695353904311,0.0331853132643482,0.971405047352979,1.88679153939505,-0.0305460219421203,0.0953766921542975,0.3576,9999,38,FALSE,3,3,158
"grad_hispanic_white","primary","unweighted","unbalanced",-2,0.0289104043758968,0.0107562342949902,0.0107001387343942,2.68778120511581,1.92788087796997,0.00817366595962034,0.0496471427921732,0.0039,9999,38,FALSE,3,3,158
"grad_hispanic_white","primary","unweighted","unbalanced",-1,0,,,,,,,,9999,38,TRUE,5,5,234
"grad_hispanic_white","primary","unweighted","unbalanced",0,-0.0365940475272442,0.0161216050036222,0.0161170228630434,-2.2698762014714,1.91009729979231,-0.0673878817129811,-0.00580021334150731,0.0141,9999,38,FALSE,4,4,231
"grad_hispanic_white","primary","unweighted","unbalanced",1,-0.00162954943776434,0.0293387303552173,0.0293376174093061,-0.0555426024928361,1.9318561787272,-0.0583077569505022,0.0550486580749735,0.958,9999,38,FALSE,3,3,116
"grad_hispanic_white","primary","unweighted","unbalanced",2,-0.0379750471044051,0.0424442503460511,0.0423965603493477,-0.894704154150249,1.8290488995998,-0.115607656494188,0.0396575622853781,0.4153,9999,38,FALSE,2,2,105
"grad_hispanic_white","primary","unweighted","unbalanced",3,-0.0098243887384926,0.0242556660176179,0.0242590242668083,-0.405034796049581,1.83999200904264,-0.0544546203849166,0.0348058429079314,0.7389,9999,38,FALSE,1,1,73
"grad_hispanic_white","primary","unweighted","unbalanced",4,-0.0361648952168846,0.0154944447729131,0.0155405243808854,-2.33405557584785,1.94693495016169,-0.0663315712786193,-0.00599821915514984,0.0178,9999,38,FALSE,1,1,73
"grad_hispanic_white","primary","unweighted","unbalanced",5,-0.0332379026937013,0.0213430709490576,0.0213641659317287,-1.5573158507993,1.93642120715776,-0.0745670779053292,0.00809127251792653,0.1221,9999,38,FALSE,1,1,73
"grad_hispanic_white","primary","unweighted","unbalanced",6,-0.0410321054335078,0.021907057912293,0.0220642045632992,-1.87300848876119,1.95542441931628,-0.0838697014305813,0.00180549056356567,0.061,9999,38,FALSE,1,1,73
"grad_hispanic_white","primary","unweighted","unbalanced",7,-0.0324210153380019,0.0253199113741827,0.0254239582977667,-1.28045532462092,1.95859910781728,-0.0820125711654889,0.017170540489485,0.204,9999,38,FALSE,1,1,73
"grad_hispanic_white","primary","unweighted","unbalanced",8,0.00965952235841454,0.0314991852596106,0.0316359435084139,0.306659435118797,1.89039093132054,-0.0498862518003389,0.069205296517168,0.789,9999,38,FALSE,1,1,73
