"check","estimate","boot_p","randomization_p","randomization_reps","bound_mbar1","status"
"Balanced panel (Section 7)","–","not estimable: error: No valid att_gt() estimates found for this aggregation. This may happen if all estimates for a particular group or time period are NA.","not estimable: error: No valid att_gt() estimates found for this aggregation. This may happen if all estimates for a particular group or time period are NA.","not estimable: error: No valid att_gt() estimates found for this aggregation. This may happen if all estimates for a particular group or time period are NA.","not estimable: error: No valid att_gt() estimates found for this aggregation. This may happen if all estimates for a particular group or time period are NA.","error: No valid att_gt() estimates found for this aggregation. This may happen if all estimates for a particular group or time period are NA."
"Ranges of 5 points or less (Section 5 rule 3)","0.022","0.4655","0.7925","1000","[-0.575, 0.656] (event times -2..+1)","ok"
"Exact values only (Section 5 rule 3)","-0.012","0.4501","0.8815","1000","[-0.198, 0.156]","ok"
"End years 2013 on, participation rule throughout (Section 5 rule 4)","-0.013","0.5967","0.8591","1000","[-0.720, 0.730] (event times -5..+1)","ok"
"Cohorts with fewer than three pre-reform years dropped (Section 5 rule 6)","-0.013","0.5925","0.8770","1000","[-0.720, 0.730] (event times -5..+1)","ok"
"Anticipation = 1, reference period -2 (Section 7; replaces the filing-date version)","0.029","0.6372","0.7543","1000","[-1.880, 1.807] (event times -5..+3)","ok"
