"check","estimate","boot_p","randomization_p","randomization_reps","bound_mbar1","status"
"Balanced panel (Section 7)","0.003","0.8634","0.9764","10000","[-0.755, 0.752]","ok"
"Ranges of 5 points or less (Section 5 rule 3)","0.112","0.0001","0.1481","1000","[-0.469, 0.700]","ok"
"Exact values only (Section 5 rule 3)","-0.004","0.9410","0.9564","1000","[-0.261, 0.298]","ok"
"Cohorts with fewer than three pre-reform years dropped (Section 5 rule 6)","0.001","0.9660","0.9810","1000","[-0.190, 0.220]","ok"
"Anticipation = 1, reference period -2 (Section 7; replaces the filing-date version)","-0.037","0.1630","0.5485","1000","[-0.321, 0.267]","ok"
