"event_set","estimate","boot_ci","boot_p","randomization_p","bound_mbar1","sd_per_1000","status"
"primary","0.055","[-0.012, 0.122]","0.1183","0.5027","[-1.824, 1.917]","-2.362","ok"
"r1","0.080","[0.003, 0.158]","0.0383","0.3785","[-0.604, 0.744]","-0.485","ok"
"r2","-0.060","[-0.105, -0.015]","0.0049","0.5560","no bound (no estimated pre-reform event time: relative magnitudes need one)","-0.166","ok"
