"weighting","estimate","boot_p","randomization_p","bound_mbar1","units","status"
"unweighted","-0.024","0.1502","0.6674","[-0.523, 0.482]",231,"ok"
"tested_weighted","0.007","0.6356","0.9219","[-0.461, 0.475]",167,"ok"
