"weighting","estimate","boot_p","randomization_p","bound_mbar1","units","status"
"unweighted","0.092","0.0228","0.2082","[-1.744, 1.968]",289,"ok"
"tested_weighted","0.135","0.0001","0.2890","[-1.743, 2.097]",188,"ok"
