"weighting","estimate","boot_p","randomization_p","bound_mbar1","units","status"
"unweighted","0.124","0.0001","0.1624","[-1.011, 1.426] (event times -5..+3)",150,"ok"
"tested_weighted","-0.036","0.1867","0.7026","[-0.923, 0.833] (event times -5..+1)",123,"ok"
