"outcome","gap","event_set","weighting","panel","event_time","reason","detail"
"graduation","grad_black_white","r2","unweighted","unbalanced",1,"not estimable","district-years present but no estimable group-time cell: cohort 2019 at 2020 (4 rows; base year 2018: 6 rows)"
"graduation","grad_black_white","r2","tested_weighted","unbalanced",1,"not estimable","district-years present but no estimable group-time cell: cohort 2019 at 2020 (4 rows; base year 2018: 6 rows)"
