"gap","event_set","weighting","panel","e","att","se","boot_se","t_stat","crit_val","ci_lo","ci_hi","p_value","reps","clusters","reference","cohorts","treated_states","treated_units","single_treated_state"
"a_poverty","primary","unweighted","unbalanced",-5,-0.053533171623724,0.0706158128914231,0.0701488095464019,-0.758090425242786,1.92810245154681,-0.189687693577648,0.0826213503301996,0.4608,9999,38,FALSE,5,6,6,FALSE
"a_poverty","primary","unweighted","unbalanced",-4,-0.0102394578638862,0.0714409975095541,0.0713234747633577,-0.143327476110854,1.89036886337525,-0.145289295124416,0.124810379396643,0.8926,9999,38,FALSE,5,6,6,FALSE
"a_poverty","primary","unweighted","unbalanced",-3,-0.161442448871039,0.0809737056229144,0.0803652192899655,-1.99376387222365,1.85029004445206,-0.311267290247509,-0.0116176074945694,0.0292,9999,38,FALSE,4,5,5,FALSE
"a_poverty","primary","unweighted","unbalanced",-2,0.0193337687842246,0.0461304014033851,0.0465151523928402,0.419111219413882,1.89946561233416,-0.068289342364677,0.106956879933126,0.7037,9999,38,FALSE,6,6,6,FALSE
"a_poverty","primary","unweighted","unbalanced",-1,0,,,,,,,,9999,38,TRUE,10,12,12,FALSE
"a_poverty","primary","unweighted","unbalanced",0,-0.00245004469823024,0.0215486996133407,0.0215590719328455,-0.113698030145329,1.86043944564857,-0.0425400954613212,0.0376400060648607,0.9235,9999,38,FALSE,6,6,6,FALSE
"a_poverty","primary","unweighted","unbalanced",1,-0.0326549329558768,0.0375591205100187,0.0381251778065864,-0.869427518867654,1.91988223878073,-0.104764021327286,0.039454155415533,0.4212,9999,38,FALSE,7,7,7,FALSE
"a_poverty","primary","unweighted","unbalanced",2,0.00526158170322901,0.0693324363687892,0.0696300961030326,0.0758891794201765,1.85850800283929,-0.123593306144511,0.134116469550969,0.9391,9999,38,FALSE,5,5,5,FALSE
"a_poverty","primary","unweighted","unbalanced",3,0.0803774600937312,0.0971104054546333,0.0975546694962875,0.827691530247815,1.84468417549161,-0.0987605681240053,0.259515488311468,0.4621,9999,38,FALSE,3,3,3,FALSE
"a_poverty","primary","unweighted","unbalanced",4,0.140490707618756,0.137521764362133,0.137704978123573,1.02158889736759,1.81506216286471,-0.109119843445348,0.390101258682861,0.3551,9999,38,FALSE,3,3,3,FALSE
"a_poverty","primary","unweighted","unbalanced",5,0.0296029039260562,0.194738196948343,0.193983883515033,0.152013854446382,1.83985157409505,-0.328686474265784,0.387892282117897,0.8722,9999,38,FALSE,4,4,4,FALSE
"a_poverty","primary","unweighted","unbalanced",6,0.0187731651857173,0.086762949454563,0.0869855571177764,0.216373063660643,1.88435653812392,-0.144719165885903,0.182265496257338,0.8363,9999,38,FALSE,3,3,3,FALSE
"a_poverty","primary","unweighted","unbalanced",7,0.00108965836595663,0.0847010002016403,0.0846793500613066,0.0128647638559471,1.9110848745703,-0.160781141980374,0.162960458712287,0.9915,9999,38,FALSE,4,4,4,FALSE
"a_poverty","primary","unweighted","unbalanced",8,-0.108939245474437,0.121972032223222,0.121356784157681,-0.893149384238068,1.82074964200364,-0.331019779479325,0.113141288530452,0.4246,9999,38,FALSE,2,2,2,FALSE
