"weighting","estimate","boot_p","randomization_p","bound_mbar1","units","status"
"unweighted","-0.004","0.7157","0.8758","[-0.207, 0.200]",894,"ok"
"tested_weighted","0.001","0.9406","0.9682","[-0.413, 0.416]",513,"ok"
