"check","estimate","boot_p","randomization_p","randomization_reps","bound_mbar1","status"
"Extended panel with the report-card years, 2010–2025 (primary specification)","0.015","0.8274","0.8475",10000,"[-1.768, 1.847]","ok"
"EDFacts years alone, 2010-2021 (Section 10 source split; Run 1's window)","0.055","0.1179","0.5095",1000,"[-1.824, 1.917]","ok"
"The seventeen confirmed states only, every year (Section 10 coverage split)","-0.132","0.0001","0.2787",1000,"[-1.024, 1.006] (event times -4..+3)","ok"
