"check","estimate","boot_p","randomization_p","randomization_reps","bound_mbar1","status"
"Balanced panel (Run 1 Section 7)","0.145","0.0001","0.2820",10000,"[-2.605, 2.924]","ok"
"Ranges of 5 points or less (Run 1 Section 5 rule 3)","0.171","0.0001","0.2108",1000,"[-2.473, 2.824]","ok"
"Exact values only (Run 1 Section 5 rule 3)","0.104","0.0029","0.3286",1000,"[-2.284, 2.492] (event times -2..+7)","ok"
"End years 2013 on (Run 1 Section 5 rule 4; report-card years test participation where the state prints it)","0.046","0.1478","0.5594",1000,"[-38.883, 39.008]","ok"
"Cohorts with fewer than three pre-reform years dropped (Run 1 Section 5 rule 6)","0.047","0.1427","0.5534",1000,"[-40.246, 40.373]","ok"
"Anticipation = 1, reference period -2 (Run 1 step 10)","-0.041","0.7574","0.5724",1000,"[-1.077, 0.871]","ok"
