"event_set","estimate","boot_ci","boot_p","randomization_p","bound_mbar1","sd_per_1000","status"
"primary","-0.018","[-0.054, 0.017]","0.3503","0.5652","[-0.197, 0.176]","-0.034","ok"
"r1","-0.003","[-0.050, 0.044]","0.8914","0.9286","[-0.201, 0.154]","-0.008","ok"
"r2","-0.068","[-0.087, -0.049]","0.0001","0.1179","[-0.066, 0.014] (event times -2..+2)","-0.074","ok"
