"check","estimate","boot_p","randomization_p","randomization_reps","bound_mbar1","status"
"Balanced panel (Run 1 Section 7)","-0.006","0.8907","0.9047",10000,"[-1.089, 1.129]","ok"
"Ranges of 5 points or less (Run 1 Section 5 rule 3)","0.071","0.0874","0.3913",1000,"[-1.236, 1.447]","ok"
"Exact values only (Run 1 Section 5 rule 3)","-0.020","0.7489","0.7797",1000,"[-0.377, 0.345]","ok"
"End years 2013 on (Run 1 Section 5 rule 4; report-card years test participation where the state prints it)","0.008","0.8083","0.9203",1000,"[-1.698, 1.714]","ok"
"Cohorts with fewer than three pre-reform years dropped (Run 1 Section 5 rule 6)","0.008","0.8190","0.9351",1000,"[-1.712, 1.726]","ok"
"Anticipation = 1, reference period -2 (Run 1 step 10)","-0.133","0.0080","0.1329",1000,"[-2.250, 1.882]","ok"
