"event_set","estimate","boot_ci","boot_p","randomization_p","bound_mbar1","sd_per_1000","status"
"primary","0.027","[-0.034, 0.087]","0.4135","0.6890","[-1.702, 1.796]","0.099","ok"
"r1","0.159","[0.068, 0.251]","0.0001","0.1082","[0.005, 0.533] (event times -2..+3)","0.439","ok"
"r2","-0.035","[-0.081, 0.012]","0.2199","0.5982","[-0.238, 0.166] (event times -2..+1)","-0.038","ok"
