"weighting","estimate","boot_p","randomization_p","bound_mbar1","units","status"
"unweighted","0.090","0.0007","0.1522","[-1.413, 1.630]",488,"ok"
"tested_weighted","0.082","0.0354","0.3504","[-1.636, 1.883]",235,"ok"
