"family","gap","sd_interval_mbar1","per_1000_interval"
"seda","a_poverty","[-0.341, 0.341]","unbounded (the revenue effect's bootstrap interval includes zero)"
"seda","b_black_white","[-0.197, 0.176]","unbounded (the revenue effect's bootstrap interval includes zero)"
"seda","c_hispanic_white","[-0.206, 0.196]","unbounded (the revenue effect's bootstrap interval includes zero)"
"hs","a_poverty","[-1.768, 1.847]","unbounded (the revenue effect's bootstrap interval includes zero)"
"hs","b_black_white","[-1.682, 1.774]","unbounded (the revenue effect's bootstrap interval includes zero)"
"hs","c_hispanic_white","[-1.413, 1.630]","unbounded (the revenue effect's bootstrap interval includes zero)"
