"check","estimate","boot_p","randomization_p","randomization_reps","bound_mbar1","status"
"Balanced panel (Run 1 Section 7)","0.027","0.0611","0.6377",10000,"[-0.261, 0.301] (event times -3..+7)","ok"
"Cohorts with fewer than three pre-reform years dropped (Run 1 Section 5 rule 6)","-0.000","0.9790","0.9890",1000,"[-0.165, 0.170]","ok"
"Anticipation = 1, reference period -2 (Run 1 step 10)","-0.017","0.4372","0.6304",1000,"[-0.255, 0.247]","ok"
