"gap","event_set","weighting","panel","e","att","se","boot_se","t_stat","crit_val","ci_lo","ci_hi","p_value","reps","clusters","reference","cohorts","treated_states","treated_units"
"a_poverty","primary","unweighted","unbalanced",-5,-0.0336479166793483,0.0268326754005404,0.0265905393112218,-1.25399037468588,1.88501762168761,-0.0842279826463907,0.0169321492876942,0.2169,9999,37,FALSE,5,6,6
"a_poverty","primary","unweighted","unbalanced",-4,-0.0196320657559238,0.0221698837629167,0.0220567425280727,-0.885528583093527,1.88234076002496,-0.0613633416078773,0.0220992100960297,0.4037,9999,37,FALSE,5,6,6
"a_poverty","primary","unweighted","unbalanced",-3,-0.0140461616245081,0.0271764278615248,0.0270606483173438,-0.516850915656729,1.9003086426204,-0.0656897623653133,0.0375974391162971,0.6359,9999,37,FALSE,5,7,7
"a_poverty","primary","unweighted","unbalanced",-2,-0.00469000874319492,0.0116945037572848,0.011686634917595,-0.401043844230961,1.95217061827871,-0.0275196753735163,0.0181396578871264,0.6942,9999,37,FALSE,7,8,8
"a_poverty","primary","unweighted","unbalanced",-1,0,,,,,,,,9999,37,TRUE,9,10,10
"a_poverty","primary","unweighted","unbalanced",0,-0.00739434587539347,0.0177956871650702,0.0178963459391848,-0.415513366064743,1.96021201411144,-0.0422776656557328,0.0274889739049459,0.6941,9999,37,FALSE,8,10,10
"a_poverty","primary","unweighted","unbalanced",1,-0.0084067241112521,0.0208891522432656,0.0209921224611693,-0.402444484742664,1.93282033162769,-0.0487817022775021,0.0319682540549979,0.7041,9999,37,FALSE,7,8,8
"a_poverty","primary","unweighted","unbalanced",2,0.0128361142978345,0.0322626317039621,0.0326550273299404,0.397863212636126,1.94506014152456,-0.0499166446902288,0.0755888732858978,0.7076,9999,37,FALSE,6,7,7
"a_poverty","primary","unweighted","unbalanced",3,0.0494187187773072,0.0336995693286379,0.0336839571580488,1.46644956484091,1.94421247797791,-0.0161004044139123,0.114937841968527,0.1493,9999,37,FALSE,3,4,4
"a_poverty","primary","unweighted","unbalanced",4,-0.0153080344885063,0.0432898444370266,0.0434089759860445,-0.353617221026856,1.83571856185253,-0.0947760054612642,0.0641599364842517,0.7108,9999,37,FALSE,4,4,4
"a_poverty","primary","unweighted","unbalanced",5,0.0246440536694432,0.0630931704375884,0.0634927342304221,0.390597801608671,1.96267011208321,-0.0991870262249832,0.14847513356387,0.7018,9999,37,FALSE,5,5,5
"a_poverty","primary","unweighted","unbalanced",6,-0.0292323390560011,0.0583828902995822,0.0589458767270311,-0.500700443331945,1.86501534563968,-0.13811732538752,0.0796526472755179,0.6719,9999,37,FALSE,4,4,4
"a_poverty","primary","unweighted","unbalanced",7,-0.0635145359014528,0.0355309977290563,0.0356403193757078,-1.78758098451911,1.91215604456783,-0.131455347978594,0.004426276175688,0.0709,9999,37,FALSE,3,3,3
"a_poverty","primary","unweighted","unbalanced",8,-0.0269488706384775,0.0314325328199124,0.0311658838371966,-0.85735600095852,1.91033248117768,-0.0869954590500397,0.0330977177730846,0.4009,9999,37,FALSE,2,2,2
