"gap","event_set","weighting","panel","e","att","se","boot_se","t_stat","crit_val","ci_lo","ci_hi","p_value","reps","clusters","reference","cohorts","treated_states","treated_units","single_treated_state"
"c_hispanic_white","primary","unweighted","unbalanced",-5,5.380173022863e-05,0.0131591422709965,0.0131508753072535,0.0040885438519205,1.91717685136043,-0.0251746012154844,0.0252822046759417,0.9971,9999,33,FALSE,4,5,622,FALSE
"c_hispanic_white","primary","unweighted","unbalanced",-4,0.0122720228310913,0.0176712037111297,0.0177056356997512,0.694464453678509,1.87591783399324,-0.0208777033587444,0.045421749020927,0.5424,9999,33,FALSE,3,4,446,FALSE
"c_hispanic_white","primary","unweighted","unbalanced",-3,0.00907607413425012,0.00917528159145831,0.00915101816693657,0.989187529971773,1.87226373358735,-0.00810247283488892,0.0262546211033892,0.3566,9999,33,FALSE,3,4,493,FALSE
"c_hispanic_white","primary","unweighted","unbalanced",-2,0.0129669643899416,0.0143072356967499,0.0143230937782657,0.906322134113386,1.78576977580144,-0.0125824646925818,0.0385163934724649,0.4404,9999,33,FALSE,4,4,670,FALSE
"c_hispanic_white","primary","unweighted","unbalanced",-1,0,,,,,,,,9999,33,TRUE,5,5,742,FALSE
"c_hispanic_white","primary","unweighted","unbalanced",0,0.0045040982378878,0.0100695574565929,0.0100232754094669,0.447298528987369,1.93049576763441,-0.0149351398140164,0.023943336289792,0.6729,9999,33,FALSE,6,7,882,FALSE
"c_hispanic_white","primary","unweighted","unbalanced",1,0.0056633586171792,0.012534786265486,0.0125614815141935,0.451811343028084,1.8866659204173,-0.017985595449628,0.0293123126839864,0.6783,9999,33,FALSE,6,7,882,FALSE
"c_hispanic_white","primary","unweighted","unbalanced",2,0.0105707399827743,0.0138464537551435,0.0137958704152725,0.763425796214982,1.90098295894906,-0.0157511326476297,0.0368926126131783,0.4617,9999,33,FALSE,4,5,472,FALSE
"c_hispanic_white","primary","unweighted","unbalanced",3,-0.0128517474459206,0.0216042450424592,0.0215008228100034,-0.594871397758301,1.91875774876023,-0.0543050600272539,0.0286015651354128,0.5645,9999,33,FALSE,2,3,259,FALSE
"c_hispanic_white","primary","unweighted","unbalanced",4,-0.0075388116003881,0.0158496444617301,0.0157613816379006,-0.475645470697528,1.91490091645387,-0.0378893103056231,0.0228116871048469,0.6462,9999,33,FALSE,3,3,494,FALSE
"c_hispanic_white","primary","unweighted","unbalanced",5,-0.00303904532963341,0.0236546287391533,0.0236033968974379,-0.128475714548128,1.81529610891995,-0.0459792008377645,0.0399011101784977,0.9182,9999,33,FALSE,3,3,494,FALSE
"c_hispanic_white","primary","unweighted","unbalanced",6,0.00276468807886256,0.0115618873727532,0.011477835309175,0.239120827744597,1.92474051630228,-0.0194889449923993,0.0250183211501244,0.8193,9999,33,FALSE,3,3,494,FALSE
"c_hispanic_white","primary","unweighted","unbalanced",7,-0.00663360336312271,0.0185172239774811,0.0184379028779998,-0.358239624426959,1.89883122080446,-0.0417946863741927,0.0285274796479473,0.7308,9999,33,FALSE,2,2,260,FALSE
"c_hispanic_white","primary","unweighted","unbalanced",8,-0.0369628700343999,0.00968667726510352,0.00968239856834016,-3.81584613823766,1.88950213830714,-0.0552658674399041,-0.0186598726288956,1e-04,9999,33,FALSE,1,1,141,TRUE
