"event_set","estimate","boot_ci","boot_p","randomization_p","bound_mbar1","sd_per_1000","status"
"primary","0.015","[-0.112, 0.141]","0.8274","0.8475","[-1.768, 1.847]","0.051","ok"
"r1","0.080","[0.004, 0.157]","0.0381","0.3854","[-0.604, 0.744]","-0.446","ok"
"r2","-0.066","[-0.110, -0.021]","0.0019","0.5198","[-0.773, 0.782] (event times -3..+3)","-0.229","ok"
