"event_set","estimate","boot_ci","boot_p","randomization_p","bound_mbar1","sd_per_1000","status"
"primary","-0.005","[-0.025, 0.015]","0.6446","0.8538","[-0.206, 0.196]","-0.009","ok"
"r1","-0.000","[-0.020, 0.020]","0.9994","1.0000","[-0.322, 0.343]","-0.000","ok"
"r2","-0.012","[-0.024, -0.000]","0.0442","0.7230","[-0.047, 0.098] (event times -2..+2)","-0.017","ok"
