"estimator","estimate","se","ci","status"
"callaway_santanna (primary)","0.021","0.028","[-0.031, 0.073]","ok"
"sun_abraham","0.046","0.010","[0.026, 0.067]","ok"
"imputation","0.079","0.008","[0.064, 0.094]","ok"
"synthdid","0.030","0.050","[-0.067, 0.128]","ok"
"stacked","0.055","0.025","[0.007, 0.104]","ok"
"twfe","0.064","0.026","[0.013, 0.115]","ok"
"twfe_static","0.067","0.030","[0.008, 0.127]","ok"
