"check","estimate","boot_p","randomization_p","randomization_reps","bound_mbar1","status"
"Extended panel with the report-card years, 2010–2025 (primary specification)","0.027","0.4135","0.6890",10000,"[-1.702, 1.796]","ok"
"EDFacts years alone, 2010-2021 (Section 10 source split; Run 1's window)","0.124","0.0001","0.1690",1000,"[-1.011, 1.426] (event times -5..+3)","ok"
"The seventeen confirmed states only, every year (Section 10 coverage split)","-0.070","0.0001","0.5203",1000,"no bound (no estimated pre-reform event time: relative magnitudes need one)","ok"
